County,Obama,Votes,Romney,Votes,Others,Votes,Total
Imperial,65.2%,"25,136",33.2%,"12,776",1.6%,620,"38,532"
Inyo,42.8%,"3,422",54.2%,"4,340",3.0%,242,"8,004"
Kern,40.5%,"89,495",57.3%,"126,618",2.2%,"4,900","221,013"
Kings,41.4%,"12,979",56.4%,"17,671",2.2%,701,"31,351"
Lake,56.4%,"13,163",39.5%,"9,200",4.1%,955,"23,318"
Lassen,28.5%,"3,053",68.0%,"7,296",3.5%,376,"10,725"
Los Angeles,69.7%,"2,216,903",27.8%,"885,333",2.5%,"77,378","3,179,614"
Madera,40.2%,"16,018",57.3%,"22,852",2.5%,996,"39,866"
Marin,74.1%,"99,896",22.9%,"30,880",3.0%,"3,955","134,731"
Mariposa,39.0%,"3,498",57.3%,"5,140",3.7%,335,"8,973"
Mendocino,66.0%,"23,193",27.5%,"9,658",6.5%,"2,286","35,137"
Merced,53.0%,"33,005",44.3%,"27,581",2.7%,"1,636","62,222"
