County,Obama,Votes,Romney,Votes,Others,Votes,Total,Unused_1,Dummy_Col_2,Extra_Data_3
Solano,63.3%,"96,783",34.1%,"52,092",2.6%,"3,965","152,840",,mqjuv,696
Sonoma,71.0%,"153,942",25.3%,"54,784",3.2%,"8,139","216,865",,eLNhg,955
Stanislaus,49.9%,"77,724",47.1%,"73,459",3.0%,"4,633","155,816",,JRHuAks,166
Sutter,39.2%,"12,192",58.3%,"18,122",2.5%,769,"31,083",,dFADQLZ,75
Tehama,34.4%,"7,934",61.8%,"14,235",3.8%,874,"23,043",,pNNOPOB,321
Trinity,46.6%,"2,674",47.3%,"2,716",6.1%,349,"5,739",,KzqKIh,468
Tulare,41.2%,"41,752",56.2%,"56,956",2.6%,"2,571","101,279",,nIrOf,276
Tuolumne,40.4%,"9,998",56.0%,"13,880",3.6%,880,"24,758",,vzfgcFb,629
Ventura,52.2%,"170,929",45.1%,"147,958",2.7%,"8,825","327,712",,xFVAOCm,621
Yolo,65.4%,"48,715",31.4%,"23,368",3.2%,"2,392","74,475",,wVmRrw,668
Yuba,39.3%,"7,711",57.4%,"11,275",3.3%,660,"19,646",,iBICS,30
