County,Obama,Votes,Romney,Votes,Others,Votes,Total
Alameda,78.7%,"469,684",18.1%,"108,182",3.2%,"19,027","596,893"
Alpine,59.5%,389,36.1%,236,4.4%,29,654
Amador,38.6%,"6,830",58.1%,"10,281",3.3%,582,"17,693"
Butte,46.9%,"42,669",48.9%,"44,479",4.2%,"3,873","91,021"
Calaveras,39.7%,"8,670",56.5%,"12,365",3.8%,827,"21,862"
Colusa,38.3%,"2,314",59.6%,"3,601",2.1%,130,"6,045"
Contra Costa,66.2%,"290,824",31.1%,"136,517",2.7%,"11,804","439,145"
Del Norte,43.4%,"3,791",52.8%,"4,614",3.8%,331,"8,736"
El Dorado,39.5%,"35,166",57.3%,"50,973",3.2%,"2,859","88,998"
Fresno,49.7%,"129,129",47.9%,"124,490",1.8%,"6,078","259,697"
Glenn,35.9%,"3,301",61.3%,"5,632",2.8%,258,"9,191"
Humboldt,59.7%,"34,457",32.6%,"18,825",7.7%,"4,404","57,686"
