Outcome,No.,Year,Championship,Opponent in the final,Score,Unused_1,Extra_Data_2,Random_Column_3
Winner,28.,1997,International Open (2),Tony Drago,9–1,,770,gwmqXh
Runner-up,9.,1997,British Open,Mark Williams,2–9,,136,Vzqgnp
Runner-up,10.,1997,World Snooker Championship,Ken Doherty,12–18,,924,aQfPhO
Runner-up,11.,1997,UK Championship (3),Ronnie O'Sullivan,6–10,,613,t5Roqu
Winner,29.,1998,Thailand Masters (3),John Parrott,9–6,,345,YpW4g
Runner-up,12.,1998,British Open (2),John Higgins,8–9,,919,QylKC
Runner-up,13.,1999,Welsh Open,Mark Williams,8–9,,499,pRbcmyB
Winner,30.,1999,Scottish Open (3),Graeme Dott,9–1,,364,kTig4
Winner,31.,1999,World Snooker Championship (7),Mark Williams,18–11,,206,Uct21D
Winner,32.,1999,British Open (3),Peter Ebdon,9–1,,694,HoYyM
Runner-up,14.,2000,Thailand Masters,Mark Williams,5–9,,290,MYAIu2
