Outcome,No.,Year,Championship,Opponent in the final,Score
Runner-up,8.,1993,UK Championship (2),Ronnie O'Sullivan,6–10
Winner,18.,1993,European Open,Ronnie O'Sullivan,9–5
Winner,19.,1994,World Snooker Championship (4),Jimmy White,18–17
Winner,20.,1994,UK Championship (3),Ken Doherty,10–5
Winner,21.,1994,European Open (2),John Parrott,9–3
Winner,22.,1995,World Snooker Championship (5),Nigel Bond,18–9
Winner,23.,1995,Grand Prix (4),John Higgins,9–5
Winner,24.,1995,UK Championship (4),Peter Ebdon,10–3
Winner,25.,1996,World Snooker Championship (6),Peter Ebdon,18–12
Winner,26.,1996,UK Championship (5),John Higgins,10–9
Winner,27.,1997,Welsh Open (2),Mark King,9–2
