Outcome,No.,Year,Championship,Opponent in the final,Score
Runner-up,15.,2001,Thailand Masters (2),Ken Doherty,3–9
Winner,33.,2001,European Open (3),Joe Perry,9–2
Runner-up,16.,2002,World Snooker Championship (2),Peter Ebdon,17–18
Winner,34.,2003,Welsh Open (3),Mark Williams,9–5
Runner-up,17.,2003,European Open (3),Ronnie O'Sullivan,6–9
Winner,35.,2003,British Open (4),Ronnie O'Sullivan,9–6
Runner-up,18.,2003,UK Championship (4),Matthew Stevens,8–10
Runner-up,19.,2005,Welsh Open (2),Ronnie O'Sullivan,8–9
Winner,36.,2005,Malta Cup (4),Graeme Dott,9–7
Runner-up,20.,2005,China Open,Ding Junhui,5–9
Runner-up,21.,2006,UK Championship (5),Peter Ebdon,6–10
