Outcome,No.,Year,Championship,Opponent in the final,Score
Winner,1.,1987,Grand Prix,Dennis Taylor,10–7
Winner,2.,1988,British Open,Mike Hallett,13–2
Runner-up,1.,1988,UK Championship,Doug Mountjoy,12–16
Winner,3.,1989,Asian Open,James Wattana,9–2
Winner,4.,1989,Dubai Classic,Doug Mountjoy,9–2
Winner,5.,1989,UK Championship,Steve Davis,16–12
Runner-up,2.,1989,International Open,Steve Davis,4–9
Runner-up,3.,1990,European Open,John Parrott,6–10
Winner,6.,1990,World Snooker Championship,Jimmy White,18–12
Winner,7.,1990,Grand Prix (2),Nigel Bond,10–5
Winner,8.,1990,Asian Open (2),Dennis Taylor,9–3
Winner,9.,1990,Dubai Classic (2),Steve Davis,9–1
