Name,Nationality,Position,Spartak career,Appearances,Goals
Andrei Piatnitski,Russia,MF,1992–97,100,17
Nikolai Pisarev,Russia,FW,"1992–95, 1998, 2000–01",115,32
Aleksandr Piskaryov,Soviet Union,FW,1971–75,117,33
Mihajlo Pjanović,Serbia,FW,2003–06,48,11
Stipe Pletikosa,Croatia,GK,2007–present,63,0
Dmitri Popov,Russia,DF,1989–93,78,7
Boris Pozdnyakov,Soviet Union,DF,"1978–84, 1989–91",145,3
Vladimir Pribylov,Soviet Union,FW,1964–69,35,6
Aleksandr Prokhorov,Soviet Union,GK,"1972–75, 1976–78",143,0
Andrei Protasov,Soviet Union,FW,1939–41,32,10
Dmitri Radchenko,Russia,FW,1991–93,61,27
Vladimir Redin,Soviet Union,MF,"1970–74, 1976",90,12
Valeri Reyngold,Soviet Union,FW,1960–67,176,32
Luis Robson,Brazil,FW,1997–2001,102,32
Sergey Rodionov,Russia,FW,"1979–90, 1993–95",303,124
Clemente Rodríguez,Argentina,DF,"2004–06, 2008–09",71,3
Oleg Romantsev,Soviet Union,DF,1976–83,180,6
Miroslav Romaschenko,Belarus,MF,1997–98,42,7
Sergei Rozhkov,Soviet Union,MF,"1961–65, 1967–69, 1974",143,8
