Name,Nationality,Position,Spartak career,Appearances,Goals,Dummy_Col_1,Noise_Field_2,Unused_3
Andrei Rudakov,Soviet Union,FW,1985–87,49,17,ITYFkMDe,EnVuhueR,
Leonid Rumyantsev,Soviet Union,FW,1936–40,26,8,zysmN,ZLGJJ,
Mikhail Rusyayev,Russia,FW,"1981–87, 1992",47,9,jkgmlN,aYNAFDo,
Konstantin Ryazantsev,Soviet Union,MF,"1941, 1944–51",114,5,dwdOjY,LNaxCwf,
Aleksandr Rystsov,Soviet Union,FW,1947–54,100,16,vZBxKaR,qpCHg,
Sergei Salnikov,Soviet Union,FW,"1946–49, 1955–60",201,64,NeFRHBa,INzpHn,
Aleksandr Samedov,Russia,MF,2001–05,47,6,ExQHLQ,HqVaQmb,
Viktor Samokhin,Soviet Union,MF,1974–81,188,3,JDUjWrFf,GpVBOrWa,
Yuri Sedov,Soviet Union,DF,"1948–55, 1957–59",176,2,ZvxKej,jpfmNma,
Anatoli Seglin,Soviet Union,DF,1945–52,83,0,SPBVJBX,zWUwPuwQ,
Viktor Semyonov,Soviet Union,FW,1937–47,104,49,JWkYJ,umZcJgx,
Yuri Sevidov,Soviet Union,FW,1960–65,146,54,gDFTB,OIouS,
Igor Shalimov,Russia,MF,1986–91,95,20,QEGrv,znqHm,
Sergey Shavlo,Soviet Union,MF,"1977–82, 1984–85",256,48,spGEBbX,IfOHUYu,
Aleksandr Shirko,Russia,FW,1993–2001,128,40,rbZlbz,tsfQBTDJ,
Roman Shishkin,Russia,DF,2003–08,54,1,eyXedV,yrdzI,
Valeri Shmarov,Russia,FW,"1987–91, 1995–96",143,54,mmnsx,FeRGxqRJ,
Sergei Shvetsov,Soviet Union,DF,1981–84,68,14,XiRHy,URkInPN,
Yevgeni Sidorov,Soviet Union,MF,"1974–81, 1984–85",191,18,bFlFd,yIvBsM,
