Name,Nationality,Position,Spartak career,Appearances,Goals
Andrey Tikhonov,Russia,MF,1992–2000,191,68
Oleg Timakov,Soviet Union,MF,1945–54,182,19
Nikolai Tishchenko,Soviet Union,DF,1951–58,106,0
Yegor Titov,Russia,MF,1992–2008,324,86
Eduard Tsykhmeystruk,Ukraine,FW,2001–02,35,5
Ilya Tsymbalar,Russia,MF,1993–99,146,42
Grigori Tuchkov,Soviet Union,DF,"1937–41, 1942, 1944",74,2
Vladas Tučkus,Soviet Union,GK,1954–57,60,0
Ivan Varlamov,Soviet Union,DF,1964–68,75,0
Welliton,Brazil,FW,2007–present,77,51
Vladimir Yanishevskiy,Soviet Union,FW,1965–66,46,7
Vladimir Yankin,Soviet Union,MF,1966–70,93,19
Georgi Yartsev,Soviet Union,FW,1977–80,116,55
Valentin Yemyshev,Soviet Union,FW,1948–53,23,9
Aleksei Yeryomenko,Soviet Union,MF,1986–87,26,5
Viktor Yevlentyev,Soviet Union,MF,"1963–65, 1967–70",56,11
Sergei Yuran,Russia,FW,"1995, 1999",26,5
Valeri Zenkov,Soviet Union,DF,1971–74,59,1
