Name,Nationality,Position,Spartak career,Appearances,Goals
Nikolay Abramov,Soviet Union,DF,1969–76,137,1
Anatoli Akimov,Soviet Union,GK,"1936–37, 1939–41",60,0
Dmitri Alenichev,Russia,MF,"1994–98, 2004–06",143,21
Alex,Brazil,MF,2009–present,29,12
Vyacheslav Ambartsumyan,Soviet Union,MF,"1959, 1963–71",165,31
Dimitri Ananko,Russia,DF,"1990–94, 1995–2002",150,1
Valeri Andreyev,Soviet Union,FW,"1970–76, 1977",97,21
Sergei Artemyev,Soviet Union,MF,1936–40,53,0
Vasili Baranov,Belarus,MF,1998–2003,120,18
Nikita Bazhenov,Russia,FW,2004–present,92,17
Sergei Bazulev,Soviet Union,DF,"1983–84, 1989–91",90,0
Vladimir Beschastnykh,Russia,FW,"1991–94, 2001–02",104,56
Artyom Bezrodny,Russia,MF,"1995–97, 1998–2003",55,10
Denis Boyarintsev,Russia,MF,"2005–07, 2009",91,9
Aleksandr Bubnov,Soviet Union,DF,1983–89,169,3
Vladimir Bukiyevskiy,Soviet Union,DF,"1972–79, 1982",199,6
Viktor Bulatov,Russia,MF,1999–2001,87,7
Mikhail Bulgakov,Soviet Union,MF,1970–79,205,39
Yevgeni Bushmanov,Russia,DF,"1989–92, 1998–2000",58,2
