Name,Nationality,Position,Spartak career,Appearances,Goals
Georgi Glazkov,Soviet Union,FW,"1936–41, 1946–47",106,48
Sergei Gorlukovich,Russia,DF,1996–98,83,5
Aleksandr Grebnev,Soviet Union,DF,1966–69,54,1
Nikolai Gulyayev,Soviet Union,MF,1937–46,76,7
Anatoli Ilyin,Soviet Union,FW,1949–62,228,84
Anatoli Isayev,Soviet Union,FW,1953–62,159,53
Valentin Ivakin,Soviet Union,GK,1957–62,101,0
Andrei Ivanov,Russia,DF,"1983–85, 1988–89, 1990–94, 1995",109,0
Vadim Ivanov,Soviet Union,DF,1969–71,75,2
Martin Jiránek,Czech Republic,DF,2004–present,126,3
Aleksandr Kalashnikov,Soviet Union,FW,1978–82,67,16
Vasili Kalinov,Soviet Union,MF,1969–72,83,10
Maksym Kalynychenko,Ukraine,MF,2000–08,134,22
Anatoli Kanishchev,Russia,FW,"1998, 1999",25,6
Vladimir Kapustin,Soviet Union,MF,1985–89,51,1
Valery Karpin,Russia,MF,1990–94,117,28
Anzor Kavazashvili,Soviet Union,GK,1969–71,74,0
Valery Kechinov,Russia,MF,1993–2000,112,35
Vagiz Khidiyatullin,Soviet Union,DF,"1976–80, 1986–88",185,22
