Name,Nationality,Position,Spartak career,Appearances,Goals
Dmitri Khlestov,Russia,DF,"1989–2000, 2002",201,6
Serafim Kholodkov,Soviet Union,DF,"1941, 1946–49",90,0
Galimzyan Khusainov,Soviet Union,FW,1961–73,346,102
Nikolai Kiselyov,Soviet Union,MF,"1968–73, 1975–76",131,16
Aleksandr Kokorev,Soviet Union,MF,1972–80,90,4
Ivan Konov,Soviet Union,FW,1945–48,85,31
Viktor Konovalov,Soviet Union,MF,1960–61,24,5
Alexey Korneyev,Soviet Union,DF,1957–67,177,0
Pavel Kornilov,Soviet Union,FW,1938–41,65,38
Radoslav Kováč,Czech Republic,MF,2005–08,101,9
Yuri Kovtun,Russia,DF,1999–2005,122,7
Wojciech Kowalewski,Poland,GK,2003–07,94,0
Anatoly Krutikov,Soviet Union,DF,1959–69,269,9
Dmitri Kudryashov,Russia,MF,2002,22,5
Vasili Kulkov,Russia,DF,"1986, 1989–91, 1995, 1997",93,4
Boris Kuznetsov,Soviet Union,DF,"1985–88, 1989–90",90,0
Yevgeni Kuznetsov,Soviet Union,MF,1982–89,209,23
Igor Lediakhov,Russia,MF,1992–94,65,21
Aleksei Leontyev,Soviet Union,GK,1940–49,109,0
