Name of place,Counties,Principal county,Lower zip code
Champion,1,Jefferson County,13619
Champion,1,Jefferson County,
Champion Huddle,1,Jefferson County,13619
Champlain,1,Clinton County,12919
Champlain,1,Clinton County,
Champlain Park,1,Clinton County,12901
Champlain Park,1,Clinton County,12901
Chapel Hill Estates,1,Westchester County,10598
Chapin,1,Ontario County,14424
Chapinville,1,Otsego County,
Chappaqua,1,Westchester County,10514
Charleston,1,Montgomery County,
Charleston,1,Montgomery County,
Charleston,1,Richmond County,10301
Charleston Four Corners,1,Montgomery County,12166
Charlesworth Corners,1,Montgomery County,
Charlotte,1,Chautauqua County,
Charlotte,1,Monroe County,14612
Charlotte Center,1,Chautauqua County,14782
Charlotteville,1,Schoharie County,12036
Charlton,1,Saratoga County,12019
Charlton,1,Saratoga County,
Chase,1,Otsego County,
Chase Lake,1,Lewis County,13343
Chase Mills,1,St. Lawrence County,13621
Chaseville,1,Otsego County,12116
Chasm Falls,1,Franklin County,12953
Chateaugay,1,Franklin County,12920
Chateaugay,1,Franklin County,
Chateaugay,1,Oswego County,
Chatfield Corner,1,Saratoga County,
Chatham,1,Columbia County,12037
Chatham,1,Columbia County,
Chatham Center,1,Columbia County,12184
Chaumont,1,Jefferson County,13622
Chauncey,1,Westchester County,10502
Chautauqua,1,Chautauqua County,14722
Chautauqua,1,Chautauqua County,
Chautauqua Institution,1,Chautauqua County,
Chazy,1,Clinton County,12921
Chazy,1,Clinton County,
Chazy Lake,1,Clinton County,12935
Chazy Landing,1,Clinton County,12921
Chedwel,1,Chautauqua County,
Cheektowaga,1,Erie County,14225
Cheektowaga,1,Erie County,14225
Cheektowaga Northwest,1,Erie County,14225
Cheektowaga Southwest,1,Erie County,14227
Chelsea,1,Dutchess County,12512
Chelsea,1,Richmond County,10314
Chemung,1,Chemung County,14825
Chemung,1,Chemung County,
Chemung Center,1,Chemung County,14825
Chemung County Airport,1,Chemung County,14845
Chemung Junction,1,Chemung County,
Chenango,1,Broome County,
Chenango Bridge,1,Broome County,13745
Chenango Forks,1,Broome County,13746
Chenango Lake,1,Chenango County,13815
Cheneys Point,1,Chautauqua County,14710
Cheningo,1,Cortland County,13158
Chepachet,1,Herkimer County,
Cherokee,1,New York County,10028
Cherry Creek,1,Chautauqua County,14723
Cherry Creek,1,Chautauqua County,
Cherry Grove,1,Suffolk County,11782
Cherry Hill,1,Chautauqua County,
Cherryplain,1,Rensselaer County,12040
Cherrytown,1,Ulster County,12446
Cherry Valley,1,Otsego County,13320
Cherry Valley,1,Otsego County,
Cherry Valley Junction,1,Schoharie County,12043
Cheshire,1,Ontario County,14424
Chester,1,Orange County,10918
Chester,1,Orange County,
