Name of place,Counties,Principal county,Lower zip code
Colvin Elmwood,1,Onondaga County,13205
Commack,1,Suffolk County,11725
Como,1,Cayuga County,
Comstock,1,Washington County,12821
Comstock Corners,1,Niagara County,
Comstock Tract,1,Onondaga County,13027
Concord,1,Erie County,
Concord,1,Erie County,
Concord,1,Richmond County,10304
Conesus,1,Livingston County,14435
Conesus,1,Livingston County,
Conesus Lake Junction,1,Livingston County,
Conesville,1,Schoharie County,12076
Conesville,1,Schoharie County,
Conewango,1,Cattaraugus County,14726
Conewango,1,Cattaraugus County,
Conewango,2,Cattaraugus County,
Conewango,2,Chautauqua County,
Conewango Valley,2,Cattaraugus County,14726
Conewango Valley,2,Chautauqua County,14726
Coney Island,1,Kings County,11224
Coney Island,1,St. Lawrence County,
Conger Corners,1,Oneida County,13480
Congers,1,Rockland County,10920
Conifer,1,St. Lawrence County,12986
Conklin,1,Broome County,13748
Conklin,1,Broome County,
Conklin Center,1,Broome County,
Conklin Cove,1,Cayuga County,
Conklin Forks,1,Broome County,13903
Conklingville,1,Saratoga County,12835
Conklin Station,1,Broome County,
Connelly,1,Ulster County,12417
Connelly Park,1,Chautauqua County,14710
Conquest,1,Cayuga County,13140
Conquest,1,Cayuga County,
Constable,1,Franklin County,12926
Constable,1,Franklin County,
Constableville,1,Lewis County,13325
Constantia,1,Oswego County,13044
Constantia,1,Oswego County,
Constantia Center,1,Oswego County,13028
Continental Village,2,Putnam County,10566
Continental Village,2,Westchester County,10566
Converse,1,St. Lawrence County,
Cook Corners,1,Chautauqua County,
Cook Corners,1,Montgomery County,
Cook Corners,1,St. Lawrence County,13625
Cooksburg,1,Albany County,12469
Cooks Falls,1,Delaware County,12776
Cooks Mill,1,Franklin County,
Cookville,1,Genesee County,14036
Cooley,1,Sullivan County,
Coolidge Beach,1,Niagara County,14172
Coonrod,1,Oneida County,13440
Coons,1,Saratoga County,
Co-op City,1,Bronx County,10475
Cooper,1,New York County,10003
Cooper Plains,1,Steuben County,14827
Coopers,1,Steuben County,
Coopers Corners,1,Sullivan County,
Coopers Falls,1,St. Lawrence County,
Coopers Plains,1,Steuben County,14827
Cooperstown,1,Otsego County,13326
Cooperstown Junction,1,Otsego County,12116
Coopersville,1,Clinton County,12919
Coopersville,1,Livingston County,14517
Copake,1,Columbia County,12516
Copake,1,Columbia County,
Copake Falls,1,Columbia County,12517
Copake Lake,1,Columbia County,12521
Copenhagen,1,Lewis County,13626
Copiague,1,Suffolk County,11726
Coram,1,Suffolk County,11727
Corbett,1,Delaware County,13755
