Name of place,Counties,Principal county,Lower zip code
Clason Point,1,Bronx County,10473
Classon,1,Kings County,11238
Claverack,1,Columbia County,12513
Claverack,1,Columbia County,
Claverack-Red Mills,1,Columbia County,
Clay,1,Onondaga County,13041
Clay,1,Onondaga County,
Clayburg,1,Clinton County,12981
Clayton,1,Jefferson County,13624
Clayton,1,Jefferson County,
Clayton Center,1,Jefferson County,
Clayville,1,Oneida County,13322
Clear Creek,2,Cattaraugus County,14726
Clear Creek,2,Chautauqua County,14726
Clearfield,1,Erie County,14221
Cleaver,1,Delaware County,13856
Clemons,1,Washington County,12819
Clermont,1,Columbia County,12526
Clermont,1,Columbia County,
Cleveland,1,Oswego County,13042
Cleveland Hill,1,Erie County,14225
Cleverdale,1,Warren County,12820
Cliff Haven,1,Clinton County,12901
Clifford,1,Oswego County,13069
Cliffside,1,Otsego County,12116
Clifton,1,Monroe County,14428
Clifton,1,Richmond County,10304
Clifton,1,St. Lawrence County,
Clifton Gardens,1,Saratoga County,12065
Clifton Heights,1,Erie County,14085
Clifton Knolls,1,Saratoga County,12065
Clifton Park,1,Saratoga County,12065
Clifton Park,1,Saratoga County,
Clifton Park Center,1,Saratoga County,12065
Clifton Springs,1,Ontario County,14432
Climax,1,Greene County,12042
Clinton,1,Clinton County,
Clinton,1,Dutchess County,
Clinton,1,Oneida County,13323
Clinton Corners,1,Dutchess County,12514
Clinton County Airport,1,Clinton County,
Clintondale,1,Ulster County,
Clintondale,1,Ulster County,12515
Clinton Heights,1,Rensselaer County,12144
Clinton Hollow,1,Dutchess County,12578
Clinton Mills,1,Clinton County,
Clinton Park,1,Clinton County,12901
Clinton Park,1,Rensselaer County,12144
Clintonville,1,Clinton County,12924
Clintonville,1,Onondaga County,
Clintonville,1,Otsego County,
Clockville,1,Madison County,13043
Clough Corners,1,Broome County,13862
Clove,1,Dutchess County,
Clove,1,Schoharie County,12043
Clover Bank,1,Erie County,14075
Clove Valley,1,Dutchess County,
Clums Corner,1,Rensselaer County,
Cluny Point,1,Livingston County,
Clyde,1,Wayne County,14433
Clymer,1,Chautauqua County,14724
Clymer,1,Chautauqua County,
Clymer Center,1,Chautauqua County,
Clymer Hill,1,Chautauqua County,
Cobb,1,Suffolk County,11976
Cobbtown,1,Jefferson County,
Cobleskill,1,Schoharie County,12043
Cobleskill,1,Schoharie County,
Cochecton,1,Sullivan County,12726
Cochecton,1,Sullivan County,
Cochecton Center,1,Sullivan County,12727
Coeymans,1,Albany County,12045
Coeymans,1,Albany County,
Coeymans Hollow,1,Albany County,12046
Coffins Mills,1,St. Lawrence County,13670
