Name of place,Counties,Principal county,Lower zip code
Corbettsville,1,Broome County,13749
Cordova,1,Chautauqua County,
Coreys,1,Franklin County,12986
Corfu,1,Genesee County,14036
Corinth,1,Saratoga County,12822
Corinth,1,Saratoga County,
Cork,1,Fulton County,
Cornell,1,Bronx County,10473
Corner,1,Ulster County,
Corners,1,Tompkins County,14850
Corning (city),1,Steuben County,14830
Corning (town),1,Steuben County,
Corning Manor,1,Steuben County,14830
Cornwall,1,Orange County,12518
Cornwall,1,Orange County,
Cornwall Landing,1,Orange County,12520
Cornwall-on-Hudson,1,Orange County,12520
Cornwallville,1,Greene County,12418
Corona,1,Queens County,11368
Corrado Corners,1,Herkimer County,
Cortland,1,Cortland County,13045
Cortlandt,1,Westchester County,
Cortlandt Manor,1,Westchester County,10566
Cortlandville,1,Cortland County,
Cortland West,1,Cortland County,
Corwin,1,Niagara County,
Cosmos Heights,1,Cortland County,13045
Cossayuna,1,Washington County,12823
Cossayuna Lake,1,Washington County,12823
Coss Corners,1,Steuben County,14810
Cottage,1,Cattaraugus County,14138
Cottage City,1,Ontario County,14424
Cottage Park,1,Chautauqua County,14750
Cottam Hill,1,Dutchess County,
Cottekill,1,Ulster County,12419
Cottons,1,Madison County,
Cottonwood Cove,1,Livingston County,
Cottonwood Point,1,Livingston County,14435
Country Knolls,1,Saratoga County,12019
Country Life Press,1,Nassau County,11530
Country Ridge Estates,1,Westchester County,10573
County Line,2,Niagara County,14098
County Line,2,Orleans County,14098
Couse,1,Rensselaer County,12061
Cove Neck,1,Nassau County,11771
Coventry,1,Chenango County,13778
Coventry,1,Chenango County,
Coventryville,1,Chenango County,13733
Covert,1,Seneca County,14847
Covert,1,Seneca County,
Coveville,1,Saratoga County,
Coveytown Corners,1,Franklin County,12917
Covington,1,Wyoming County,14525
Covington,1,Wyoming County,
Cowles Settlement,1,Cortland County,
Cowlesville,1,Wyoming County,14037
Coxsackie,1,Greene County,12051
Coxsackie,1,Greene County,
Crab Meadow,1,Suffolk County,
Crafts,1,Putnam County,10512
Cragsmoor,1,Ulster County,12420
Craigie Clair,1,Sullivan County,
Craigs,1,Livingston County,14525
Craigville,1,Orange County,10918
Crains Mills,1,Cortland County,13158
Cranberry Creek,1,Fulton County,12117
Cranberry Lake,1,St. Lawrence County,12927
Crandall Corners,1,Washington County,12154
Cranes Corners,1,Herkimer County,13340
Crane Street,1,Schenectady County,12303
Cranesville,1,Montgomery County,12010
Cranford,1,Bronx County,10470
Crary Mills,1,St. Lawrence County,13617
Craryville,1,Columbia County,12521
Craterclub,1,Essex County,12936
