Name of place,Counties,Principal county,Lower zip code
Chester,1,Warren County,
Chesterfield,1,Essex County,
Chester Heights,1,Westchester County,
Chester Hill Park,1,Westchester County,
Chestertown,1,Warren County,12817
Chestnut Hill,1,Onondaga County,13088
Chestnut Ridge,1,Dutchess County,
Chestnut Ridge,1,Niagara County,14094
Chestnut Ridge,1,Rockland County,10977
Cheviot,1,Columbia County,12526
Chichester,1,Ulster County,12416
Childs,1,Orleans County,14411
Childwold,1,St. Lawrence County,12922
Chili,1,Monroe County,
Chili,1,Monroe County,
Chili Center,1,Monroe County,14624
Chili Junction,1,Monroe County,
Chiloway,1,Delaware County,
Chilson,1,Essex County,12883
Chimney Corners,1,Westchester County,
China,1,Delaware County,13754
Chinatown,1,New York County,10013
Chipman,1,St. Lawrence County,
Chipman Corners,1,Cayuga County,
Chipmunk,1,Cattaraugus County,14706
Chippewa Bay,1,St. Lawrence County,13623
Chittenango,1,Madison County,13037
Chittenango,1,Madison County,
Chittenango Falls,1,Madison County,13035
Chittenango Springs,1,Madison County,
Choconut Center,1,Broome County,13905
Christian Hill,1,Tompkins County,
Christian Hill,1,Warren County,
Chuckery Corners,1,Oneida County,13323
Church Corners,1,Montgomery County,
Church Street,1,New York County,10007
Churchtown,1,Columbia County,12521
Churchville,1,Monroe County,14428
Churchville,1,Oneida County,13478
Churchville Greene,1,Monroe County,14428
Churubusco,1,Clinton County,12923
Cibro,1,Onondaga County,
Cicero,1,Onondaga County,13039
Cicero,1,Onondaga County,
Cicero Center,1,Onondaga County,13041
Cincinnatus,1,Cortland County,13040
Cincinnatus,1,Cortland County,
Circleville,1,Orange County,10919
City Island,1,Bronx County,10464
Clairemont Farms,1,Onondaga County,13088
Clare,1,St. Lawrence County,
Claremont Park,1,Bronx County,10457
Clarence,1,Erie County,14031
Clarence,1,Erie County,
Clarence Center,1,Erie County,14032
Clarence Compact,1,Erie County,
Clarendon,1,Orleans County,14429
Clarendon,1,Orleans County,
Clark,1,Chautauqua County,
Clark Corners,1,Lewis County,
Clark Corners,1,Oswego County,
Clark Heights,1,Dutchess County,12569
Clark Mills,1,Oneida County,13321
Clark Point,1,Jefferson County,
Clarksburg,1,Erie County,14057
Clarks Corner,1,Saratoga County,
Clarks Corners,1,Chautauqua County,14747
Clarks Mills,1,Washington County,12834
Clarkson,1,Monroe County,14430
Clarkson,1,Monroe County,
Clarkstown,1,Rockland County,
Clarksville,1,Albany County,12041
Clarksville,1,Allegany County,
Clarkville,1,Saratoga County,
Claryville,1,Sullivan County,12725
