Name of place,Counties,Principal county,Lower zip code
Cohocton,1,Steuben County,14826
Cohocton,1,Steuben County,
Cohoes,1,Albany County,12047
Coila,1,Washington County,12816
Cokertown,1,Dutchess County,12571
Colburns,1,Chautauqua County,
Colchester,1,Delaware County,13856
Colchester,1,Delaware County,
Coldbrook,1,Erie County,14072
Cold Brook,1,Herkimer County,13324
Coldbrook,1,Schenectady County,12303
Cold Brook,1,Ulster County,
Cold Brook Estates,1,Albany County,12303
Colden,1,Erie County,14033
Colden,1,Erie County,
Coldenham,1,Orange County,12549
Colden Hill,1,Orange County,12550
Cold Spring,1,Cattaraugus County,
Coldspring,1,Cattaraugus County,
Cold Spring,1,Cayuga County,13021
Cold Spring,1,Onondaga County,
Cold Spring,1,Putnam County,10516
Cold Spring Harbor,1,Suffolk County,
Cold Spring Harbor,1,Suffolk County,11724
Cold Spring Park,1,Essex County,
Cold Springs,1,Onondaga County,13027
Cold Springs,1,Seneca County,
Cold Springs,1,Steuben County,14810
Cold Spring Terrace,1,Suffolk County,11743
Coldwater,1,Monroe County,14624
Colegrave,1,Erie County,
Colemans,1,Oneida County,
Colemans Mills,1,Oneida County,13492
Coleman Station,1,Dutchess County,
Colesville,1,Broome County,
Colgate,1,Madison County,13346
Collabar,1,Orange County,12549
Collamer,1,Monroe County,14468
Collamer,1,Onondaga County,13057
College,1,New York County,10030
College Park,1,Dutchess County,12571
College Point,1,Queens County,11356
Colliers,1,Otsego County,
Colliersville,1,Otsego County,13747
Collingwood,1,Onondaga County,13084
Collingwood Estates,1,Niagara County,14174
Collins,1,Erie County,14034
Collins,1,Erie County,
Collins Center,1,Erie County,14035
Collins Landing,1,Jefferson County,13607
Collinsville,1,Lewis County,13433
Colonial Acres,1,Albany County,12077
Colonial Acres,1,Westchester County,10583
Colonial Heights,1,Dutchess County,12603
Colonial Heights,1,Westchester County,
Colonial Park,1,New York County,10039
Colonial Park,1,Oneida County,13440
Colonial Springs,1,Suffolk County,11798
Colonial Village,1,Niagara County,14092
Colonie,1,Albany County,12212
Colonie,1,Albany County,
Colonie-Schenectady,1,Albany County,
Colonie-Watervliet,1,Albany County,
Colosse,1,Oswego County,13131
Colton,1,St. Lawrence County,13625
Colton,1,St. Lawrence County,
Columbia,1,Herkimer County,
Columbia Center,1,Herkimer County,13357
Columbia University,1,New York County,10025
Columbiaville,1,Columbia County,12050
Columbus,1,Chenango County,13411
Columbus,1,Chenango County,
Columbus Circle,1,New York County,10023
Columbus Quarter,1,Chenango County,
Colvin,1,Onondaga County,13205
