Name of place,Counties,Principal county,Lower zip code
Crawford,1,Orange County,
Crawford,1,Ulster County,
Creeklocks,1,Ulster County,12411
Creekside,1,Erie County,14110
Crescent,1,Albany County,
Crescent,1,Saratoga County,12188
Crescent Beach,1,Monroe County,14612
Crescent Beach,1,Richmond County,10301
Crescent Park,1,Montgomery County,
Crescent Station,1,Albany County,
Crestview,1,Cattaraugus County,
Crest View Heights,1,Tioga County,13760
Crestwood,1,Westchester County,10707
Crestwood,1,Westchester County,
Crestwood Gardens,1,Westchester County,
Crittenden,1,Erie County,14038
Crittenden,1,Monroe County,
Crocketts,1,Cayuga County,13156
Crofts Corners,1,Putnam County,10579
Croghan,1,Lewis County,13327
Croghan,1,Lewis County,
Crompond,1,Westchester County,10517
Cronomer Valley,1,Orange County,
Cropseyville,1,Rensselaer County,12052
Crosby,1,Yates County,
Crosbyside,1,Warren County,
Cross River,1,Westchester County,10518
Cross Roads,1,Cayuga County,
Cross Roads Estates,1,Westchester County,10598
Croton,1,Schuyler County,14864
Crotona Park,1,Bronx County,10460
Croton Falls,1,Westchester County,10519
Croton-Harmon,1,Westchester County,
Croton Heights,1,Westchester County,10598
Croton North,1,Westchester County,
Croton-on-Hudson,1,Westchester County,10520
Crotonville,1,Westchester County,10562
Crown Heights,1,Dutchess County,
Crowningshield,1,Essex County,
Crown Point,1,Essex County,12928
Crown Point,1,Essex County,
Crown Point Center,1,Essex County,12928
Crown Point Centre,1,Essex County,
Crown Village,1,Nassau County,11762
Crugers,1,Westchester County,10521
Crum Creek,1,Fulton County,13452
Crum Town,1,Tioga County,
Crystal Beach,1,Ontario County,
Crystal Brook,1,Suffolk County,11766
Crystal Dale,1,Lewis County,13367
Crystal Lake,1,Albany County,12147
Crystal Lake,1,Cattaraugus County,14060
Crystal Run,1,Orange County,
Crystal Spring,1,Yates County,
Cuba,1,Allegany County,14727
Cuba,1,Allegany County,
Cuddebackville,1,Orange County,12729
Cullen,1,Herkimer County,13439
Culvertown,1,Sullivan County,
Cumberland Head,1,Clinton County,12901
Cumminsville,1,Livingston County,14437
Curriers,1,Wyoming County,14009
Curry,1,Sullivan County,12765
Currytown,1,Montgomery County,12166
Curtis,1,Herkimer County,
Curtis,1,Steuben County,14821
Cutchogue,1,Suffolk County,11935
Cutchogue-New Suffolk,1,Suffolk County,
Cutchogue Station,1,Suffolk County,
Cutting,1,Chautauqua County,14724
Cuyler,1,Cortland County,13050
Cuyler,1,Cortland County,
Cuylerville,1,Livingston County,14481
C.W. Post College,1,Nassau County,
Cypress Hills,1,Kings County,11208
