Rank,Film,Year,Opening Weekend(three day),Inflation-adjusted(2014 USD),Noise_Field_1,Noise_Field_2,Unused_3
14,Harry Potter and the Deathly Hallows – Part 1,2010,"$125,017,372","$135,204,962",JojdXU,QmJls,
15,Shrek the Third,2007,"$121,629,270","$138,338,411",ewXfg,xrffOlQB,
16,Man of Steel,2013,"$116,619,362","$118,068,774",uhYfg,dfimJSeU,
17,Alice in Wonderland,2010,"$116,101,023","$125,562,025",kvInjh,yENInt,
18,Spider-Man,2002,"$114,844,116","$150,582,840",ZjyDvQyG,fTabUtqQ,
19,Pirates of the Caribbean: At World's End,2007,"$114,732,820","$130,494,543",NNaEtFCg,hwXYinY,
20,Toy Story 3,2010,"$110,307,189","$119,296,055",MecgmTY,wmoqEhEN,
21,Transformers: Revenge of the Fallen,2009,"$108,966,307","$119,783,499",TxFcFc,mBlEMCh,
22,Star Wars Episode III: Revenge of the Sith,2005,"$108,435,841","$130,939,650",GHfSP,EyRXqAm,
23,Shrek 2,2004,"$108,037,878","$134,895,074",PYjPi,mVElF,
24,X-Men: The Last Stand,2006,"$102,750,665","$120,203,691",uYisBLh,IcSfUX,
25,Harry Potter and the Goblet of Fire,2005,"$102,685,961","$123,996,491",bZFsZw,upQUSd,
26,Indiana Jones and the Kingdom of the Crystal Skull,2008,"$100,137,835","$109,687,301",kgjsj,TxivkQdh,
