Name,Lifetime,Nationality,Notable as,Notes
Brigitte Fassbaender,b. 1939,German,Opera singer,L
Rainer Werner Fassbinder,1945–1982,German,Film director,G
Brenda Fassie,1964–2004,South African,Pop musician,B
Freda du Faur,1882–1935,Australian,Mountaineer,L
Frances Faye,1912–1991,American,Cabaret musician,B
Fredrick Federley,b. 1978,Swedish,Politician,G
Mark Feehily,b. 1980,Irish,Pop musician (Westlife),G
Anselmo Feleppa,1956–1993,Brazilian,Fashion designer,G
Antonio A. Feliz,b. ?,American,Clergy,G
Art Feltman,b. 1958,American,Politician,G
Steen Fenrich,1981–1999,American,Teenager murdered by his stepfather,G
