Name,Lifetime,Nationality,Notable as,Notes,Extra_Data_1,Extra_Data_2,Noise_Field_3
Maria Irene Fornes,b. 1930,Cuban-American,Playwright,L,341,939,RofSqyX
E. M. Forster,1879–1970,British,Writer,G,795,288,VjZGJaRC
Jackie Forster,1926–1998,English,"Actor, activist",L,413,20,BISxF
Wolfgang Fortner,1907–1987,German,Classical composer and conductor,G,975,629,uBxkJw
Pim Fortuyn,1948–2002,Dutch,"Politician, academic and sociologist",G,346,613,ZwWliSO
Per-Kristian Foss,b. 1950,Norwegian,"Politician, first openly gay minister in Norway",G,434,530,dpISYxj
Quentin Fottrell,b. ?,Irish,Writer,G,418,112,lnCFG
Michel Foucault,1926–1984,French,"Philosopher, historian",B,516,152,OJCvK
Simon Fowler,b. 1965,English,Rock musician (Ocean Colour Scene),G,21,378,eXsTm
Eytan Fox,b. 1964,Israeli,Film director,G,520,677,SLaAJXi
