Name,Lifetime,Nationality,Notable as,Notes,Random_Column_1,Random_Column_2
Patricia Field,b. 1941,American,"Costume designer, stylist",L,nh6o6,0bYN7
Danny Fields,b. 1941,American,"Journalist, promoter, author",G,hWYQwD,40PmCc
Harvey Fierstein,b. 1952,American,Actor,G,fTaOZI,NGoLq7
Timothy Findley,1930–2002,Canadian,"Novelist, playwright",G,QgGXv,BLY4k
Leonor Fini,1907–1996,Argentinian,Painter,B,DkmHvF,NR2eIgWX
Tom of Finland,1920–1991,Finnish,Artist,G,v7in40Y,bEGcF
Leslie Fish,b. ?,American,"Musician, author, political activist",B,HrI2U40U,Z7ukDYNB
Jeremy Fisher,b. 1954,New Zealander,Writer,G,aR8rZrp5,8vwUOqn
M. F. K. Fisher,1908–1992,American,Writer,B,tTz3ldL,TsQcb
Joe FitzPatrick,b. 1967,Scottish,Politician,G,fUoow,pqrxHCo
William P. Fitzpatrick,b. ?,American,Politician,G,XolzyZK,jih8jby3
