Name,Lifetime,Nationality,Notable as,Notes,Irrelevant_1
Kay Floyd,b. ?,American,Politician,L,KzTM6i
Elizabeth Gurley Flynn,1890–1964,American,Activist,B,jUIxef7
Althea Flynt,1953–1987,American,Wife of Larry Flynt,B,bT5GpbW
Waawaate Fobister,b. 1984,Canadian,"Writer, actor",G,X5aTMkP
Mark Foley,b. 1954,American,U.S. Representative (R-FL),G,508yp
Ulrike Folkerts,b. 1961,German,Actor,L,GTzVyO
Hector Fonseca,b. 1980,Puerto Rican-American,Deejay,G,D3zbqQZ
Malcolm Forbes,1919–1990,American,Magazine publisher,B,wsVpJE
Katie Ford,,American/Canadian,Film and television writer,L,QepidB
Tom Ford,b. 1962,American,Fashion designer,G,yBbmnT
