Name,Lifetime,Nationality,Notable as,Notes
John Fraser,b. 1931,Scottish,Actor,G
Margo Frasier,b. ?,American,First openly lesbian sheriff elected to office,L
Peter Frechette,b. 1956,American,Actor,G
Marcia Freedman,b. 1938,Israeli-American,Activist,L
Alan Freeman,1927–2006,Australian,Radio DJ,B
Chris Freeman,b. 1961,American,Rock musician (Pansy Division),G
Jared French,1905–1988,American,Painter,B
Elsa von Freytag-Loringhoven,1874–1927,German-American,"Artist, poet",B
Aaron Fricke,b. 1962,American,"Gay rights activist, author",G
Benedict Friedländer,1866–1908,German,"Early gay rights activist, author",G
