Name,Lifetime,Nationality,Notable as,Notes,Random_Column_1,Unused_2
Gordon D. Fox,b. 1961,American,Politician,G,MZEjWc8,
Greg Fox,b. 1961,American,Author,G,HduUs5,
Megan Fox,b. 1986,American,"Model, actress",B,ZZBqt42a,
Samantha Fox,b. 1966,English,"British model, pop musician",L,ql2nRW,
Virgil Fox,1912–1980,American,Classical musician,G,NrWah6,
David France,b. ?,American,"journalist, filmmaker",G,lPV9fy3,
Brian Francis,b. ?,Canadian,novelist (Fruit),G,OIHCRFYa,
Samuel Kensinger Francis,b. 1974,American,"Fitness journalist, trainer",G,EGGWm4e,
Kay Francis,1905–1968,American,Actor,B,mGlPpQ,
Barney Frank,b. 1940,American,Politician,G,h765rKX,
