Name,Lifetime,Nationality,Notable as,Notes
Fannie Flagg,b. 1944,American,"Author, actor",L
Rosanna Flamer-Caldera,b. ?,Sri Lankan,Activist,L
Ed Flanagan,b. 1950,American,Politician,G
Maile Flanagan,b. 1965,American,Actor,L
Gustave Flaubert,1821-1880,French,Author,B
Mike Fleck,b. ?,American,Politician,G
Andrew Fleming,b. 1963,American,"Film director, screenwriter",G
Kate Fleming,1965–2006,American,Audio book narrator and producer,L
Peter Flinsch,b. 1920,German/Canadian,"artist, television set designer",G
Nina Flowers,b. 1974,Puerto Rican,"drag queen, reality television personality",G
Gary Floyd,b. 1953,American,Singer (The Dicks),G
