Name,Lifetime,Nationality,Notable as,Notes
Lillian Faderman,b. 1940,American,"Writer, educator",L
Richard Fairbrass,b. 1953,English,Musician (Right Said Fred),B
Tiffani Faison,b. 1977,American,"Chef, reality show contestant",B
Marianne Faithfull,b. 1946,English,"Rock musician, actor",B
Peter Fallico,b. ?,Canadian,"interior designer, television personality",G
Sam Falson,b. 1982,American,Singer,G
Rotimi Fani-Kayode,1955–1989,Nigerian,Photographer,G
Gareth Farr,b. 1968,New Zealander,"Contemporary classical composer, drag performer",G
Jane Farrow,b. ?,Canadian,"Writer, broadcaster",L
Daniel Farson,1927–1997,English,Writer and broadcaster,G
Justin Fashanu,1961–1998,British,Footballer,G
