Name,Lifetime,Nationality,Notable as,Notes
James Fenton,b. 1949,English,"Writer, academic",G
Fergie,b. 1975,American,"Singer, model, fashion designer",B
Jesse Tyler Ferguson,b. 1975,American,Actor,G
Dominique Fernandez,b. 1929,French,"Writer, academic",L
Lynne Fernie,b. 1946,Canadian,Filmmaker,L
Mark Ferrandino,b. 1977,American,Politician,G
Frank Ferri,b. 1954,American,Politician,G
Melissa Ferrick,b. 1970,American,Rock musician,B
Robert Ferro,1941–1988,American,Writer,G
Tiziano Ferro,b. 1980,Italian,Singer,G
Edward Field,b. 1924,American,Poet,G
