Outcome,No.,Date,Championship,Surface,Partner,Opponents in the final,Score in the final,Unused_1,Filler_2,Extra_Data_3
Runner-up,10.,1974,"Monte Carlo WCT, Monaco",Clay,Manuel Orantes,John Alexander Phil Dent,"6–7, 6–4, 6–7, 3–6",,VgMob,476
Winner,13.,1974,"Wimbledon, London",Grass,John Newcombe,Robert Lutz Stan Smith,"8–6, 6–4, 6–4",,Rkerihdg,258
Runner-up,11.,1974,"Sydney Indoor, Australia",Hard (i),John Newcombe,Ross Case Geoff Masters,"4–6, 4–6",,LNHXiGe,234
Winner,14.,1976,"Australian Open, Melbourne",Grass,John Newcombe,Ross Case Geoff Masters,"7–6, 6–4",,vvVDpi,0
Winner,15.,1976,"Charlotte WCT, U.S.",Carpet,John Newcombe,Vitas Gerulaitis Gene Mayer,"6–3, 7–5",,YGethTEv,424
Winner,16.,1977,"Australian Open, Melbourne",Grass,Arthur Ashe,Charlie Pasarell Erik Van Dillen,"6–4, 6–4",,TQFJPS,433
Runner-up,12.,1977,"Richmond WCT, U.S.",Carpet,Ross Case,Wojtek Fibak Tom Okker,"4–6, 4–6",,wyRNgE,299
Runner-up,13.,1977,"Toronto Indoor WCT, Canada",Carpet,Ross Case,Wojtek Fibak Tom Okker,"4–6, 1–6",,tmOGL,587
Winner,17.,1977,"Sydney Indoor, Australia",Hard (i),John Newcombe,Ross Case Geoff Masters,"6–7, 6–3, 6–1",,wgxiylp,127
Winner,18.,1978,"Sydney Indoor, Australia",Hard (i),John Newcombe,Mark Edmondson John Marks,"6–4, 6–3",,PcxEx,750
