Outcome,No.,Date,Championship,Surface,Partner,Opponents in the final,Score in the final
Winner,8.,1971,"Rome, Italy",Clay,John Newcombe,Andrés Gimeno Roger Taylor,"6–4, 6–4"
Winner,9.,1971,"Tehran WCT, Iran",Clay,John Newcombe,Bob Carmichael Ray Ruffels,"6–4, 6–7, 6–1"
Runner-up,5.,1972,"Richmond WCT, U.S.",Carpet,John Newcombe,Tom Okker Marty Riessen,"6–7, 6–7"
Runner-up,6.,1972,"Philadelphia WCT, U.S.",Carpet,John Newcombe,Arthur Ashe Robert Lutz,"3–6, 7–6, 3–6"
Runner-up,7.,1972,"Charlotte WCT, U.S.",Clay,John Newcombe,Tom Okker Marty Riessen,"4–6, 6–4, 6–7"
Runner-up,8.,1972,"Las Vegas WCT, U.S.",Hard,John Newcombe,Roy Emerson Rod Laver,DEF
Winner,10.,1972,"St. Louis WCT, U.S.",Carpet,John Newcombe,John Alexander Phil Dent,"7–6, 6–2"
Runner-up,9.,1972,"Washington WCT, U.S.",Clay,John Newcombe,Tom Okker Marty Riessen,"6–3, 3–6, 2–6"
Winner,11.,1972,"Boston WCT, U.S.",Hard,John Newcombe,Arthur Ashe Robert Lutz,"6–3, 1–6, 7–6"
Winner,12.,1974,"Toronto WCT, Canada",Carpet,Raúl Ramírez,Tom Okker Marty Riessen,"6–3, 2–6, 6–4"
