Wrestlers:,Times:,Date:,Location:,Notes:,Irrelevant_1
Hayabusa and Tetsuhiro Kuroda,1,"October 9, 2001","Tokyo, Japan",The titles are vacated later in the month when Hayabusa is injured in a match with Mammoth Sasaki and his wrestling career is ended.,5HEo0ZT
Mr. Gannosuke and Mammoth Sasaki,2,"November 23, 2001","Yokohama, Japan",Gannosuke and Sasaki defeated Biomonster DNA and Dr. Luther to win the vacant titles.,s636Wr
Tetsuhiro Kuroda and Mr. Gannosuke,1,"December 21, 2001","Tokyo, Japan",Kuroda and Gannosuke defeated Kintaro Kanemura and Mammoth Sasaki to win the vacant titles. The titles are again vacated in January 2002.,1OPkX3
Kodo Fuyuki and The Sandman,1,"February 4, 2002","Tokyo, Japan",Fuyuki and Sandman defeated Sabu and Tetsuhiro Kuroda to win the vacant titles. The FMW promotion closes later in the month and the titles are vacated.,B6SW2
Takashi Sasaki and GENTARO,1,"August 23, 2002","Tokyo, Japan",Titles are revived. Sasaki and Gentao defeated Taka Michinoku and Hi69 to win the vacant titles. Titles are later vacated.,7zlTfm
Kintaro Kanemura and Tetsuhiro Kuroda,1,"March 11, 2003","Tokyo, Japan",Titles are vacated in March 2005.,k6lX4yn
Tetsuhiro Kuroda and Onryo,1,"March 12, 2005","Chiba, Chiba, Japan",Defeated Takashi Sasaki and Gentaro for the vacant titles. Titles are later vacated.,1aTRN5k
Takashi Sasaki and BADBOY Hido,1,"August 6, 2006","Tokyo, Japan",Defeated Tetsuhiro Kuroda and Jun Kasai in a tournament final for the vacant titles.,RrMhU
Jun Kasai and Tomoaki Honma,1,"September 24, 2006","Tokyo, Japan","Titles are vacated on February 20, 2007 when the team splits up.",EwRVWd
Jun Kasai and Jaki Numazawa,1,"June 24, 2007","Tokyo, Japan",Defeated Gentaro & The Winger for the vacant titles.,mpYSpRx
Gentaro & The Winger,1,"September 23, 2007","Tokyo, Japan",,EIMYbyH
