Wrestlers:,Times:,Date:,Location:,Notes:
Nosawa & Mazada,1,"April 17, 2008","Tokyo, Japan",
Kohei Sato & Kamikaze,1,"September 6, 2009","Osaka, Japan",
Kintaro Kanemura and Tetsuhiro Kuroda,2,"August 18, 2011","Tokyo, Japan",
Hiroki and Yusaku Obata,1,"September 28, 2011","Tokyo, Japan",
Manjimaru and Takeshi Minamino,1,"March 25, 2012","Tokyo, Japan",
Daisaku Shimoda and Kazushi Miyamoto,1,"April 26, 2012","Tokyo, Japan",
Kengo Nishimura and Tomohiko Hashimoto,1,"May 31, 2012","Tokyo, Japan",
Kotaro Nasu and Masato Shibata,1,"September 21, 2012","Tokyo, Japan",
Shoichi Ichimiya and Tomohiko Hashimoto,1,"October 13, 2012","Tokyo, Japan",
Daisaku Shimoda and Rikiya Fudo,1,"July 14, 2013","Osaka, Japan",
Tadasuke and Tomohiko Hashimoto,1,"November 10, 2013","Osaka, Japan",
