Rank,Title,Studio,Actor/Actress,Director,Gross,Irrelevant_1
11.,The Witches of Eastwick,Warner Bros.,"Jack Nicholson, Cher, Susan Sarandon, Michelle Pfeiffer",George Miller,"$63,766,510",RSLklD2
12.,Predator,Fox,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Bill Duke, Shane Black, and Kevin Peter Hall",John McTiernan,"$59,735,548",vP5ofB
13.,Throw Momma from the Train,Orion,"Danny DeVito, Billy Crystal, Kate Mulgrew, and Anne Ramsey",Danny DeVito,"$57,915,972",kAQGXO8r
14.,Dragnet,Universal,"Dan Aykroyd, Tom Hanks, Alexandra Paul, Christopher Plummer, and Dabney Coleman",Tom Mankiewicz,"$57,387,516",21EEk
15.,RoboCop,Orion,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith, Miguel Ferrer, and Dan O'Herlihy",Paul Verhoeven,"$53,424,681",SYxrM
16.,Outrageous Fortune,Touchstone,Bette Midler and Shelley Long,Arthur Hiller,"$52,864,741",k45ul
17.,La Bamba,Columbia,"Lou Diamond Phillips, Esai Morales, Rosana DeSoto, Elizabeth Peña, and Danielle von Zerneck",Luis Valdez,"$52,678,820",4F16ERgX
18.,Broadcast News,Fox,"William Hurt, Holly Hunter, and Albert Brooks",James L. Brooks,"$51,300,000",t2qEKG
19.,The Living Daylights,United Artists,Timothy Dalton and Maryam d'Abo,John Glen,"$51,185,000",MhrDzg
20.,Eddie Murphy Raw,Paramount,Eddie Murphy,Robert Townsend,"$50,505,655",eBJOWe
