MAINLAND,Area(sq miles),Area(km²),Population(2011),Density(per km²)
Aberdeen City,70,182,"222,800",1224
Aberdeenshire,"2,439","6,317","253,000",40
Angus,843,"2,184","116,000",53
Argyll and Bute,"2,712","7,023","88,200",13
Clackmannanshire,61,158,"51,400",325
Dumfries and Galloway,"2,489","6,446","151,300",23
Dundee City,21,55,"147,300",2678
East Ayrshire,492,"1,275","122,700",96
East Dunbartonshire,68,176,"105,000",597
East Lothian,257,666,"99,700",150
East Renfrewshire,65,168,"90,600",539
City of Edinburgh,100,260,"476,600",1833
