Year,Award,Category,Nominated work,Result,Unused_1,Extra_Data_2
1979,Olivier Award,Best Actress in a Revival,Once in a Lifetime,Won,,826
1981,Tony Award,Best Featured in a Play,Piaf!,Nominated,,562
1981,Drama Desk Award,Outstanding Featured Actress in a Play,Piaf!,Nominated,,548
1984,Olivier Award,Best Actress in a Revival,Twelfth Night,Nominated,,762
1984,Olivier Award,Best Actress in a Supporting Role,The Time of Your Life,Nominated,,104
1985,Olivier Award,Best Performance in a Supporting Role,Mother Courage,Nominated,,94
1986,Tony Award,Best Featured Actress in a Play,Loot,Nominated,,863
1986,Drama Desk Award,Outstanding Featured Actress in a Play,Loot,Nominated,,629
1989/90,Olivier Award,Best Performance in a Supporting Role,Othello,Nominated,,930
1991,Olivier Award,Best Actress in a Supporting Role,The Crucible,Nominated,,685
