Name,Term start,Term end
Ferdinando Raffaelli,10 November 1955,1 February 1958
Silvio Napoli,1 February 1958,1 September 1961
Aldo Remondino,1 September 1961,28 February 1968
Duilio S. Fanali,28 February 1968,1 November 1971
Vincenzo Lucertini,1 November 1971,27 February 1974
Dino Ciarlo,27 February 1974,20 June 1977
Alessandro Mettimano,20 June 1977,1 April 1980
Lamberto Bartolucci,2 April 1980,12 October 1983
Basilio Cottone,19 October 1983,17 September 1986
Franco Pisano,18 September 1986,15 April 1990
