Name,Term start,Term end,Random_Column_1,Noise_Field_2,Dummy_Col_3
Pier Ruggero Piccio,1 January 1926,6 February 1927,NqHeqitm,rAadqgu,PwbdFw
Armando Armani,10 February 1927,13 October 1928,0jPNlAk,RZNOZqF,cprUfi
Giuseppe Valle,22 February 1930,23 November 1933,3KC7h6J,IpTKfTF,SiJVWgXU
Antonio Bosio,23 November 1933,22 March 1934,1M7UiFVd,bWqYfq,NoJuxT
Giuseppe Valle,22 March 1934,10 November 1939,1svzoQ3,yUTfo,LOUNo
Francesco Pricolo,10 November 1939,15 November 1941,8nsWm3,rDhUfCSV,UBEQT
Rino Corso Fougier,15 November 1941,27 July 1943,wNezVfX7,HJfCOC,RXHjCv
Renato Sandalli,27 July 1943,18 June 1944,lEafLH,tTsHGZ,nBkAxPGX
Pietro Piacentini,19 June 1944,13 December 1944,yb0vQ,ioUgyp,onsfnCNM
Mario Ajmone Cat,13 December 1944,5 February 1951,6VGY7,GHeUOWjF,pWhVh
Aldo Urbani,5 February 1951,10 November 1955,2m0YX,xsPjzMfe,cXTPcMz
