Name,Term start,Term end,Unused_1
Stelio Nardini,16 April 1990,24 March 1993,
Adelchi Pillinini,25 March 1993,3 June 1995,
Mario Arpino,4 June 1995,5 February 1999,
Andrea Fornasiero,5 February 1999,5 August 2001,
Sandro Ferracuti,5 August 2001,4 August 2004,
Leonardo Tricarico,5 August 2004,19 September 2006,
Vincenzo Camporini,19 September 2006,30 January 2008,
Daniele Tei,30 January 2008,25 February 2010,
Giuseppe Bernardis,25 February 2010,25 February 2013,
Pasquale Preziosa,25 February 2013,Incumbent,
