Rank,Athlete,Nationality,Time
16,Godfrey Muriuki,Kenya,1:02:59
17,Pasi Mattila,Finland,1:03:01
18,Muhammed Nazipov,Russia,1:03:02
19,Pablo Sierra Hermoso,Spain,1:03:14
20,Philippe Rémond,France,1:03:16
21,Rainer Wachenbrunner,Germany,1:03:18
22,Fabián Roncero,Spain,1:03:21
23,Meck Mothuli,South Africa,1:03:25
24,André Ramos,Brazil,1:03:26
25,Masatoshi Ibata,Japan,1:03:30
26,Vanderlei de Lima,Brazil,1:03:36
27,Abdi Djama,France,1:03:45
28,Peter Weilenmann,United States,1:03:47
29,Dagne Debela,Ethiopia,1:03:48
30,Luca Barzaghi,Italy,1:03:48
