Rank,Athlete,Nationality,Time
46,Daniel Held,United States,1:04:30
47,Kidane Gebrmichael,Ethiopia,1:04:35
48,Daniel Böltz,Switzerland,1:04:38
49,Bertrand Frechard,France,1:04:39
50,Aleksey Korobov,Russia,1:04:47
51,David Taylor,Great Britain,1:04:49
52,Viktor Chumakov,Belarus,1:04:50
53,Kaare Sørensen,Denmark,1:04:51
54,Harri Hänninen,Finland,1:04:52
55,Mahieddine Belhadj,Algeria,1:04:54
56,René Godlieb,Netherlands,1:05:04
57,Sergey Romanchuk,Ukraine,1:05:05
58,Gerard Kappert,Netherlands,1:05:07
59,Kingston Maringe,Zimbabwe,1:05:12
60,Abel Chimukoko,Zimbabwe,1:05:15
