Rank,Athlete,Nationality,Time
61,Arlindo Macedo,Portugal,1:05:19
62,Yann Millon,France,1:05:20
63,Andrés Espinosa,Mexico,1:05:20
64,Luboš Šubrt,Czech Republic,1:05:21
65,Motori Choloo,Tanzania,1:05:21
66,Manuel Matias,Portugal,1:05:23
67,Roman Kejžar,Slovenia,1:05:25
68,Pedro Ortíz,Colombia,1:05:28
69,Viktor Rogovoy,Ukraine,1:05:29
70,Tolosa Gebre,Ethiopia,1:05:37
71,Thorsten Naumann,Germany,1:05:43
72,Ronaldo da Costa,Brazil,1:05:49
73,Peter van der Velden,Netherlands,1:05:50
74,Wodage Zvadya,Israel,1:05:51
75,Igor Šalamun,Slovenia,1:05:53
