Rank,Athlete,Nationality,Time
,Moses Tanui,Kenya,1:01:45
,Paul Yego,Kenya,1:01:46
,Charles Tangus,Kenya,1:01:50
4,Antonio Serrano,Spain,1:01:56
5,Josiah Thugwane,South Africa,1:02:28
6,Delmir dos Santos,Brazil,1:02:32
7,Herder Vázquez,Colombia,1:02:32
8,Nobuyuki Sato,Japan,1:02:36
9,Yoshifumi Miyamoto,Japan,1:02:38
10,Joaquim Pinheiro,Portugal,1:02:40
11,Bartolomé Serrano,Spain,1:02:41
12,Vincenzo Modica,Italy,1:02:48
13,Danilo Goffi,Italy,1:02:49
14,Oleg Strizhakov,Russia,1:02:54
15,Giacomo Leone,Italy,1:02:54
