Rank,Athlete,Nationality,Time
120,Geza Grabar,Slovenia,1:10:13
121,Robert Sádek,Slovakia,1:10:24
122,Edo Janić,Yugoslavia,1:10:38
123,Nazim Noorbux,Mauritius,1:10:40
124,Hossein Behdouj,Iran,1:10:44
125,Prasanna Gamage,Sri Lanka,1:11:31
126,Rachamim Gasha,Israel,1:11:53
127,Ali Mohammad Vahed-Puor,Iran,1:11:57
128,Hossein Fazeli-Sani,Iran,1:12:49
129,Benjamin Keleketu,Botswana,1:13:19
130,Lee Kar Lun,Hong Kong,1:13:28
131,Richard Muscat,Gibraltar,1:13:54
132,Colin Graham,Jamaica,1:14:09
133,Binesh Prasad,Fiji,1:15:38
