Rank,Athlete,Nationality,Time
91,Ivo Claes,Belgium,1:06:59
92,Khelil Benhalima,Algeria,1:07:01
93,Andrey Kovalenko,Belarus,1:07:05
94,Mirko Vindiš,Slovenia,1:07:10
95,Teppo Jalonen,Finland,1:07:13
96,Tayeb Kalloud,Algeria,1:07:21
97,Eduardo do Nascimento,Brazil,1:07:26
98,Bigboy Goromonzi,Zimbabwe,1:07:28
99,Terje Näss,Norway,1:07:31
100,Daniel Dasta,Israel,1:07:37
101,Peter De Vocht,Belgium,1:07:40
102,Chris Dagg,New Zealand,1:07:41
103,David Morris,United States,1:07:48
104,Bashir Hussain,Great Britain,1:08:03
105,Ebrahim Etta-Ati,Iran,1:08:10
