Rank,Athlete,Nationality,Time
31,António Rodrigues,Portugal,1:03:56
32,Focus Willbroad,Tanzania,1:03:57
33,Bob Kempainen,United States,1:03:58
34,Klaus-Peter Hansen,Denmark,1:04:00
35,Andrea Arlati,Italy,1:04:09
36,Steffen Dittmann,Germany,1:04:11
37,Takeo Nakahara,Japan,1:04:11
38,Joseph LeMay,United States,1:04:11
39,Juan Antonio Crespo,Spain,1:04:12
40,Lemma Bonsa,Ethiopia,1:04:14
41,Carsten Jørgensen,Denmark,1:04:21
42,Valeriy Fedotov,Russia,1:04:24
43,Sid-Ali Sakhri,Algeria,1:04:26
44,Martin McLoughlin,Great Britain,1:04:27
45,Santtu Mäkinen,Finland,1:04:28
