,Date,Opponents,H / A,Result,Score,Attendance,Unused_1,Extra_Data_2
1,29 August,Doncaster Knights,H,W,30 – 14,2232,,121
2,5 September,London Welsh,H,W,22 – 3,2047,,712
3,11 September,Moseley,A,D,26 – 26,751,,764
4,19 September,Birmingham & Solihull,H,W,32 – 15,1672,,391
5,26 September,Bristol,A,L,7 – 21,4379,,551
6,3 October,Plymouth Albion,H,W,46 – 13,2439,,639
7,9 October,Bedford,A,L,25 – 32,3243,,100
8,17 October,Rotherham Titans,H,W,40 – 15,1982,,287
9,22 October,Worcester Warriors,A,W,23 – 21,6928,,367
10,31 October,Esher,H,W,54 – 6,1767,,268
11,7 November,Nottingham,A,W,36 – 10,1637,,61
12,14 November,London Welsh,A,L,16 – 23,1250,,361
