,Date,Opponents,H / A,Result,Score,Attendance
13,21 November,Moseley,H,W,50 – 7,1854
,28 November,Birmingham & Solihull,A,,P – P,
14,5 December,Bristol,H,W,16 – 6,2253
15,15 December,Birmingham & Solihull,A,W,61 – 28,407
,26 December,Plymouth Albion,A,,P – P,
16,2 January,Bedford Blues,H,W,23 – 13,3051
17,8 January,Rotherham Titans,A,L,18 – 19,1067
18,12 January,Plymouth Albion,A,W,10 – 6,2512
19,30 January,Worcester Warriors,H,L,30 – 33,1976
20,5 February,Esher,A,L,12 – 13,1338
21,13 February,Nottingham,H,W,40 – 0,2486
22,19 February,Doncaster Knights,A,W,16 – 13,1091
