Round,Date,Score,Opponent,Opponent's Score,Result,Venue,Attendance,Best on ground,Team,Unused_1
1,"Saturday, 2 April 2:10pm",14.20 (104),Richmond,11.17 (83),Won by 21 points,Kardinia Park (stadium),"20,781",Alex Ishchenko,West Coast,
2,"Friday, 8 April 7:40pm",26.19 (175),Essendon,11.10 (76),Won by 99 points,WACA Ground,"24,886",John Gastev,West Coast,
3,"Sunday, 17 April 2:10pm",29.18 (192),Brisbane Bears,10.14 (74),Won by 118 points,WACA Ground,"16,354",Chris Mainwaring,West Coast,
4,"Saturday, 23 April 2:10pm",8.7 (55),Collingwood,13.16 (94),Lost by 87 points,Victoria Park,"26,276",James Manson,Collingwood,
5,"Friday, 29 April 7:40pm",14.16 (100),Footscray,14.9 (93),Won by 7 points,WACA Ground,"17,662",Ross Glendinning,West Coast,
6,"Friday, 6 May 7:40pm",17.8 (110),North Melbourne,17.23 (123),Lost by 13 points,Melbourne Cricket Ground,"10,133",Donald McDonald,North Melbourne,
7,"Friday, 13 May 7:40pm",17.10 (112),St Kilda,3.18 (36),Won by 76 points,WACA Ground,"12,803",Alex Ishchenko,West Coast,
8,"Sunday, 22 May 2:10pm",9.9 (63),Hawthorn,17.14 (116),Lost by 53 points,Subiaco Oval,"27,344",Chris Wittman,Hawthorn,
9,"Sunday, 29 May 2:10pm",12.15 (87),Carlton,15.10 (100),Lost by 13 points,Subiaco Oval,"27,663",Ken Hunter,Carlton,
10,"Sunday, 5 June 2:10pm",10.15 (75),Richmond,16.20 (116),Lost by 41 points,Melbourne Cricket Ground,"7,157",Peter Wilson,Richmond,
11,"Monday, 13 June 2:10pm",10.13 (73),Melbourne,13.15 (93),Lost by 20 points,Melbourne Cricket Ground,"28,045",Alan Johnson,Melbourne,
12,"Sunday, 19 June 2:10pm",8.13 (61),Sydney,14.20 (104),Lost by 43 points,Sydney Cricket Ground,"12,664",Michael Parsons,Sydney,
