Round,Date,Score,Opponent,Opponent's Score,Result,Venue,Attendance,Best on ground,Team
13,"Sunday, 26 June 2:10pm",17.19 (121),Fitzroy,13.9 (87),Won by 34 points,Subiaco Oval,"15,028",Wally Matera,West Coast
14,"Saturday, 2 July 2:10pm",13.7 (85),Essendon,16.16 (112),Lost by 27 points,Windy Hill,"10,298",Simon Madden,Essendon
15,"Sunday, 10 July 2:10pm",18.18 (126),Geelong,16.10 (106),Won by 20 points,Subiaco Oval,"18,537",Chris Mainwaring,West Coast
16,"Friday, 15 July 7:40pm",14.14 (98),Brisbane Bears,12.17 (89),Won by 9 points,WACA Ground,"16,074",Mark Withers,Brisbane Bears
17,"Friday, 22 July 7:40pm",8.16 (64),Fitzroy,19.20 (134),Lost by 70 points,Melbourne Cricket Ground,"7,611",John Ironmonger,Fitzroy
18,"Sunday, 31 July 2:10pm",18.14 (122),Melbourne,11.12 (78),Won by 44 points,Subiaco Oval,"16,266",Murray Rance,West Coast
19,"Sunday, 7 August 2:10pm",16.9 (115),North Melbourne,12.12 (84),Won by 31 points,Subiaco Oval,"18,193",Guy McKenna,West Coast
20,"Saturday, 13 August 2:10pm",14.13 (97),St Kilda,13.10 (88),Won by 9 points,Moorabbin Oval,"11,074",Laurie Keene,West Coast
21,"Sunday, 21 August 7:40pm",16.15 (111),Collingwood,7.9 (51),Won by 60 points,Subiaco Oval,"36,638",Karl Langdon,West Coast
22,"Sunday, 28 August 2:10pm",7.11 (53),Footscray,3.11 (29),Won by 24 points,Western Oval,"18,456",Chris Mainwaring,West Coast
EF,"Saturday, 3 September 2:10pm",10.11 (71),Melbourne,11.7 (73),Lost by 2 points,Waverley Park,"43,438",–,–
