County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Guilford County,081,Greensboro,1771,Orange County and Rowan County,"Francis North, 1st Earl of Guilford (1704–1790), a British politician and father of Prime Minister of Great Britain Frederick North","495,279","658 sq mi(1,704 km2)"
Halifax County,083,Halifax,1758,Edgecombe County,"George Montagu-Dunk, 2nd Earl of Halifax (1716–1771), a British statesman and President of the Board of Trade","54,173","731 sq mi(1,893 km2)"
Harnett County,085,Lillington,1855,Cumberland County,"Cornelius Harnett (1723–1781), an American Revolutionary and delegate in the Continental Congress","119,256","601 sq mi(1,557 km2)"
Haywood County,087,Waynesville,1808,Buncombe County,"John Haywood (1754–1827), a North Carolina State Treasurer","58,855","555 sq mi(1,437 km2)"
Henderson County,089,Hendersonville,1838,Buncombe County,"Leonard Henderson (1772–1833), Chief Justice of the North Carolina Supreme Court","107,927",375 sq mi(971 km2)
Hertford County,091,Winton,1759,"Bertie County, Chowan County, and Northampton County","Francis Seymour-Conway, 1st Marquess of Hertford (1718–1794), who was Lord of the Bedchamber to George II and George III","24,433",360 sq mi(932 km2)
Hoke County,093,Raeford,1911,Cumberland County and Robeson County,"Robert Hoke (1837–1912), a Confederate general during the American Civil War","49,272","392 sq mi(1,015 km2)"
Hyde County,095,Swan Quarter,1712,Original countyOriginally named Wickham County,"Edward Hyde (c. 1650–1712), a governor of colonial North Carolina","5,822","1,424 sq mi(3,688 km2)"
Iredell County,097,Statesville,1788,Rowan County,"James Iredell (1751–1799), a comptroller at the port of Edenton and one of the original justices of the Supreme Court of the United States","161,202","597 sq mi(1,546 km2)"
Jackson County,099,Sylva,1851,Haywood County and Macon County,"Andrew Jackson (1767–1845), the 7th President of the United States","40,285","494 sq mi(1,279 km2)"
