County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Rutherford County,161,Rutherfordton,1779,Tryon County,"Griffith Rutherford (c. 1721–1805), an officer in the American Revolutionary War and a political leader in North Carolina","67,538","566 sq mi(1,466 km2)"
Sampson County,163,Clinton,1784,Duplin County,"John Sampson, a member of Josiah Martin's council","63,734","947 sq mi(2,453 km2)"
Scotland County,165,Laurinburg,1899,Richmond County,"The country Scotland, part of the United Kingdom","35,861",321 sq mi(831 km2)
Stanly County,167,Albemarle,1841,Montgomery County,"John Stanly (1774–1834), a United States Congressman and Speaker of the North Carolina House of Commons","60,636","404 sq mi(1,046 km2)"
Stokes County,169,Danbury,1789,Surry County,"John Stokes, a soldier of the Revolution who was seriously wounded at the Waxhaw massacre","47,242","456 sq mi(1,181 km2)"
Surry County,171,Dobson,1771,Rowan County,"The county of Surrey in England, birthplace of then governor William Tryon","73,714","538 sq mi(1,393 km2)"
Swain County,173,Bryson City,1871,Jackson County and Macon County,"David Lowry Swain (1801–1868), a governor of North Carolina and president of the University of North Carolina","14,043","541 sq mi(1,401 km2)"
Transylvania County,175,Brevard,1861,Henderson County and Jackson County,"Derived from the Latin words, trans meaning across and sylva meaning woods","32,820",381 sq mi(987 km2)
Tyrrell County,177,Columbia,1729,"Chowan County, Currituck County, and Pasquotank County","John Tyrrell, at one time was a Lords Proprietor","4,364","600 sq mi(1,554 km2)"
Union County,179,Monroe,1842,Anson County and Mecklenburg County,Created as a compromise after a dispute between local Whigs and Democrats as to whether it should be named Clay or Jackson county,"205,463","640 sq mi(1,658 km2)"
