County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Johnston County,101,Smithfield,1746,Craven County,"Gabriel Johnston (1699–1752), a governor of colonial North Carolina","172,595","796 sq mi(2,062 km2)"
Jones County,103,Trenton,1778,Craven County,"Willie Jones (1740–1801), opposed the ratification of the United States Constitution and declined an invitation to the Constitutional Convention","10,020","473 sq mi(1,225 km2)"
Lee County,105,Sanford,1907,Chatham County and Moore County,"Robert E. Lee (1807–1870), a career United States Army officer and general of the Confederate forces during the American Civil War","58,752",259 sq mi(671 km2)
Lenoir County,107,Kinston,1791,Dobbs CountyOriginally named Glasgow County,"William Lenoir (1751–1839), a captain in the American Revolutionary War who took part in the Battle of Kings Mountain","59,339","402 sq mi(1,041 km2)"
Lincoln County,109,Lincolnton,1779,Tryon County,"Benjamin Lincoln (1733–1810), a major general during the American Revolutionary War who participated in the Siege of Yorktown","78,932",307 sq mi(795 km2)
McDowell County,111,Marion,1842,Burke County and Rutherford County,"Joseph McDowell (1756–1801), a soldier in the American Revolutionary War who took part in the Battle of Kings Mountain","45,104","446 sq mi(1,155 km2)"
Macon County,113,Franklin,1828,Haywood County,"Nathaniel Macon (1758–1837), a member and Speaker of the United States House of Representatives","34,074","519 sq mi(1,344 km2)"
Madison County,115,Marshall,1851,Buncombe County and Yancey County,"James Madison (1751–1836), the 4th President of the United States","20,816","452 sq mi(1,171 km2)"
Martin County,117,Williamston,1774,Halifax County and Tyrrell County,"Josiah Martin (1737–1786), the last governor of colonial North Carolina","24,180","461 sq mi(1,194 km2)"
Mecklenburg County,119,Charlotte,1762,Anson County,"Charlotte of Mecklenburg-Strelitz (1744–1818), the queen consort of George III of the United Kingdom","944,373","546 sq mi(1,414 km2)"
