County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Pender County,141,Burgaw,1875,New Hanover County,"William Dorsey Pender (1834–1863), Confederate soldier who was mortally wounded at the Battle of Gettysburg of the American Civil War","53,399","933 sq mi(2,416 km2)"
Perquimans County,143,Hertford,1668,Albemarle County,Perquimans Native American tribe,"13,487",329 sq mi(852 km2)
Person County,145,Roxboro,1791,Caswell County,"Thomas Person, an American Revolutionary War patriot","39,637","404 sq mi(1,046 km2)"
Pitt County,147,Greenville,1760,Beaufort County,"William Pitt, 1st Earl of Chatham (1708–1778), Secretary of State during the French and Indian War and was later Prime Minister of Great Britain","171,134","655 sq mi(1,696 km2)"
Polk County,149,Columbus,1855,Henderson County and Rutherford County,"William Polk (1758–1834), officer in the American Revolutionary War and first president of the State Bank of North Carolina","20,256",239 sq mi(619 km2)
Randolph County,151,Asheboro,1779,Guilford County,"Peyton Randolph (c. 1721–1755), the first President of the Continental Congress","142,358","790 sq mi(2,046 km2)"
Richmond County,153,Rockingham,1779,Anson County,"Charles Lennox, 3rd Duke of Richmond (1735–1806), a firm supporter of the American colonists and advocated removal of British troops","46,611","480 sq mi(1,243 km2)"
Robeson County,155,Lumberton,1787,Bladen County,"Thomas Robeson, an officer in the American Revolutionary War","135,517","951 sq mi(2,463 km2)"
Rockingham County,157,Wentworth,1785,Guilford County,"Charles Watson-Wentworth, 2nd Marquess of Rockingham (1730–1782), a British statesmen and two-time Prime Minister of Great Britain","93,329","572 sq mi(1,481 km2)"
Rowan County,159,Salisbury,1753,Anson County,"Matthew Rowan (d. 1769), was the acting Governor of colonial North Carolina following the death of Governor Nathaniel Rice","138,019","524 sq mi(1,357 km2)"
