County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Mitchell County,121,Bakersville,1861,"Burke County, Caldwell County, McDowell County, Watauga County, and Yancey County","Elisha Mitchell (1793–1857), a professor at the University of North Carolina who measured the height of Mount Mitchell","15,445",222 sq mi(575 km2)
Montgomery County,123,Troy,1779,Anson County,"Richard Montgomery (1738–1775), a major general during the Revolutionary War who was killed at the Battle of Quebec","27,667","502 sq mi(1,300 km2)"
Moore County,125,Carthage,1784,Cumberland County,"Alfred Moore (1755–1810), a captain in the Revolutionary War and justice of the Supreme Court of the United States","89,352","706 sq mi(1,829 km2)"
Nash County,127,Nashville,1777,Edgecombe County,"Francis Nash (1742–1777), a brigadier general in the Revolutionary War who was mortally wounded at the Battle of Germantown","96,116","543 sq mi(1,406 km2)"
New Hanover County,129,Wilmington,1729,Craven County,"The royal family of England, members of the House of Hanover","206,189",328 sq mi(850 km2)
Northampton County,131,Jackson,1741,Bertie County,"James Compton, 5th Earl of Northampton (1687–1754), a British peer and politician","21,893","551 sq mi(1,427 km2)"
Onslow County,133,Jacksonville,1734,New Hanover County,"Arthur Onslow (1691–1768), Speaker of the British House of Commons","179,716","909 sq mi(2,354 km2)"
Orange County,135,Hillsborough,1752,"Bladen County, Granville County, and Johnston County","William V, Prince of Orange (1748–1806), the last Stadtholder of the Dutch Republic","135,755","401 sq mi(1,039 km2)"
Pamlico County,137,Bayboro,1872,Beaufort County and Craven County,Pamlico Sound and the Pamlico Native American tribe,"13,197","566 sq mi(1,466 km2)"
Pasquotank County,139,Elizabeth City,1668,Albemarle County,"Derived from the Native American word pasketanki which meant \where the current of the stream divides or forks\""""","40,696",289 sq mi(749 km2)
