County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Duplin County,061,Kenansville,1750,New Hanover County,"Thomas Hay, Viscount Dupplin (1710–1787), who was the 9th Earl of Kinnoull","59,542","819 sq mi(2,121 km2)"
Durham County,063,Durham,1881,Orange County and Wake County,The city of Durham which was named in honor of Dr. Bartlett Snipes Durham who donated the land on which the railroad station was located,"273,392",298 sq mi(772 km2)
Edgecombe County,065,Tarboro,1741,Bertie County,"Richard Edgcumbe, 1st Baron Edgcumbe (1680–1758), a Lord High Treasurer and Paymaster-General for Ireland","56,041","507 sq mi(1,313 km2)"
Forsyth County,067,Winston-Salem,1849,Stokes County,"Benjamin Forsyth (d. 1814), an American officer during the War of 1812","354,952","413 sq mi(1,070 km2)"
Franklin County,069,Louisburg,1779,Bute County,"Benjamin Franklin (1706–1790), an author, politician, statesman, and Founding Father of the United States","61,140","495 sq mi(1,282 km2)"
Gaston County,071,Gastonia,1846,Lincoln County,"William Gaston (1778–1844), a United States Congressman and justice of the North Carolina Supreme Court","207,031",364 sq mi(943 km2)
Gates County,073,Gatesville,1779,"Chowan County, Hertford County, and Perquimans County","Horatio Gates (1727–1806), an American general during the Revolution at the Battle of Saratoga","12,043",346 sq mi(896 km2)
Graham County,075,Robbinsville,1872,Cherokee County,"William Alexander Graham (1804–1875), a United States Senator, governor of North Carolina, and United States Secretary of the Navy","8,802",302 sq mi(782 km2)
Granville County,077,Oxford,1746,Edgecombe County,"John Carteret, 2nd Earl Granville (1690–1763), who inherited one-eighth share in the Province of Carolina through his great-grandfather George Carteret","59,976","537 sq mi(1,391 km2)"
Greene County,079,Snow Hill,1799,Dobbs CountyOriginally named Glasgow County,"Nathanael Greene (1742–1786), a major general of the Continental Army in the American Revolutionary War","21,556",266 sq mi(689 km2)
