County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area,Extra_Data_1
Vance County,181,Henderson,1881,"Franklin County, Granville County, and Warren County","Zebulon Baird Vance (1830–1894), a Confederate military officer in the American Civil War, twice governor of North Carolina, and United States Senator","45,307",270 sq mi(699 km2),660
Wake County,183,Raleigh,1771,"Cumberland County, Johnston County, and Orange County","Margaret Wake, the wife of British colonial governor William Tryon","929,780","857 sq mi(2,220 km2)",456
Warren County,185,Warrenton,1779,Bute County,"Joseph Warren (1741–1775), a Patriot and volunteer private who was mortally wounded at the Battle of Bunker Hill","20,861","444 sq mi(1,150 km2)",245
Washington County,187,Plymouth,1799,Tyrrell County,"George Washington (1732–1799), the 1st President of the United States","12,973","424 sq mi(1,098 km2)",247
Watauga County,189,Boone,1849,"Ashe County, Caldwell County, Wilkes County, and Yancey County","The Watauga River, which came from a Native American word meaning \beautiful water\""""","51,333",313 sq mi(811 km2),92
Wayne County,191,Goldsboro,1779,Dobbs CountyOriginally named Glasgow County,"Anthony Wayne (1745–1796), a general in the American Revolutionary War","123,697","557 sq mi(1,443 km2)",900
Wilkes County,193,Wilkesboro,1777,Surry County,"John Wilkes (1725–1797), an English radical, journalist and politician","68,984","760 sq mi(1,968 km2)",547
Wilson County,195,Wilson,1855,"Edgecombe County, Johnston County, Nash County, and Wayne County","Louis D. Wilson, a state legislator from Edgecombe County who died of fever at Veracruz during the Mexican-American War","81,452",374 sq mi(969 km2),468
Yadkin County,197,Yadkinville,1850,Surry County,The Yadkin River,"38,279",337 sq mi(873 km2),686
Yancey County,199,Burnsville,1833,Buncombe County and Burke County,"Bartlett Yancey (1785–1828), a United States Congressman, Speaker of the North Carolina Senate, and early advocate for the North Carolina Public School System","17,701",313 sq mi(811 km2),739
