County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Alamance County,001,Graham,1849,Orange County,"The Battle of Alamance which was derived from the local Native American word meaning \blue clay\"" found in the Great Alamance Creek""","153,291","435 sq mi(1,127 km2)"
Alexander County,003,Taylorsville,1847,"Caldwell County, Iredell County, and Wilkes County","William J. Alexander, member of the legislature and Speaker of the North Carolina House of Commons","37,087",263 sq mi(681 km2)
Alleghany County,005,Sparta,1859,Ashe County,"Derived from a corruption of the Delaware Indian name for the Allegheny and Ohio Rivers and is said to have meant \a fine stream\""""","11,052",236 sq mi(611 km2)
Anson County,007,Wadesboro,1750,Bladen County,"George, Lord Anson (1697–1762), a celebrated English admiral who circumnavigated the globe","26,143","537 sq mi(1,391 km2)"
Ashe County,009,Jefferson,1799,Wilkes County,"Samuel Ashe (1725–1813), a Revolutionary patriot, superior court judge, and governor of North Carolina","27,143","427 sq mi(1,106 km2)"
Avery County,011,Newland,1911,"Caldwell County, Mitchell County, and Watauga County","Waightstill Avery (1741–1821), a soldier of the Revolution and Attorney General of North Carolina","17,572",247 sq mi(640 km2)
Beaufort County,013,Washington,1712,Original county,"Henry Somerset, Duke of Beaufort, who in 1709 became one of the Lords Proprietor","47,691","959 sq mi(2,484 km2)"
Bertie County,015,Windsor,1722,Chowan County,"James or Henry Bertie, two Lords Proprietor of colonial North Carolina","20,874","741 sq mi(1,919 km2)"
Bladen County,017,Elizabethtown,1734,New Hanover County,"Martin Bladen, a member of the Board of Trade","35,190","887 sq mi(2,297 km2)"
Brunswick County,019,Bolivia,1764,Bladen County and New Hanover County,"George I of Great Britain (1660–1727), Duke of Brunswick and Lüneburg","110,097","1,050 sq mi(2,719 km2)"
