County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Buncombe County,021,Asheville,1791,Burke County and Rutherford County,"Edward Buncombe, a Revolutionary soldier, who was wounded and captured at the Battle of Germantown, and died a paroled prisoner in Philadelphia","241,419","660 sq mi(1,709 km2)"
Burke County,023,Morganton,1777,Rowan County,"Thomas Burke (1747–1783), a member of the Continental Congress and governor of North Carolina","90,904","515 sq mi(1,334 km2)"
Cabarrus County,025,Concord,1792,Mecklenburg County,"Stephen Cabarrus (1754–1808), member of the legislature and Speaker of the North Carolina House of Commons","181,468",365 sq mi(945 km2)
Caldwell County,027,Lenoir,1841,Burke County and Wilkes County,"Joseph Caldwell (1773–1835), the first president of the University of North Carolina","82,395","474 sq mi(1,228 km2)"
Camden County,029,Camden,1777,Pasquotank County,"Charles Pratt, 1st Earl Camden (1714–1794), who opposed the taxation of the American colonists","10,014",306 sq mi(793 km2)
Carteret County,031,Beaufort,1722,Craven County,"John Carteret, 2nd Earl Granville (1690–1763), who inherited one-eighth share in the Province of Carolina through his great-grandfather George Carteret","67,373","1,341 sq mi(3,473 km2)"
Caswell County,033,Yanceyville,1777,Orange County,"Richard Caswell (1729–1789), member of the first Continental Congress and first governor of North Carolina after the Declaration of Independence","23,403","428 sq mi(1,109 km2)"
Catawba County,035,Newton,1842,Lincoln County,Catawba Nation,"154,181","414 sq mi(1,072 km2)"
Chatham County,037,Pittsboro,1771,Orange County,"William Pitt, 1st Earl of Chatham (1708–1778), Secretary of State during the French and Indian War and was later Prime Minister of Great Britain","64,195","709 sq mi(1,836 km2)"
Cherokee County,039,Murphy,1839,Macon County,Cherokee Nation,"27,194","497 sq mi(1,287 km2)"
