#,Season,Competition,Date,Round,Opponent,H / A,Result,Scorer (s),Filler_1,Noise_Field_2
35,2011,AFCChampions League,2011-03-02,Group Stage,Al-Ain,A,1–0,S : Dejan Damjanović,uFtwrh,bOZZM
36,2011,AFCChampions League,2011-03-15,Group Stage,Hangzhou Greentown,H,3–0,"S : Dejan Damjanović, Ou Kyoung-Jun, Mauricio Molina",hNAHRMVv,XNhWU
37,2011,AFCChampions League,2011-04-06,Group Stage,Nagoya Grampus,A,1–1,S : Choi Hyun-TaeN : Kensuke Nagai,SBiMSDa,iodJSycZ
38,2011,AFCChampions League,2011-04-19,Group Stage,Nagoya Grampus,H,0–2,"N : Mu Kanazaki, Kensuke Nagai",doBLJqe,fYgzUhf
39,2011,AFCChampions League,2011-05-04,Group Stage,Al-Ain,H,3–0,"S : Dejan Damjanović (2), Ko Yo-Han",EbWxamiG,trKtff
40,2011,AFCChampions League,2011-05-11,Group Stage,Hangzhou Greentown,A,1–1,S : Bang Seung-HwanH : Zeng Yue,mGAiV,PRiFl
41,2011,AFCChampions League,2011-05-25,Round of 16,Kashima Antlers,H,3–0,"S : Bang Seung-Hwan, Dejan Damjanović, Koh Myong-Jin",VEoyN,MLtWnpMO
42,2011,AFCChampions League,2011-09-14,Quarter-finals1st leg,Al-Ittihad,A,1–3,"S : Choi Tae-UkI : Noor, Al-Muwallad, Wendel Geraldo",PbASFuY,oqhxheXx
43,2011,AFCChampions League,2011-09-27,Quarter-finals2nd leg,Al-Ittihad,H,1–0,S : Mauricio Molina,Ljnjlv,rrTkPK
44,2013,AFCChampions League,2013-02-26,Group Stage,Jiangsu Sainty,H,5–1,"S : Dejan Damjanović (2), Yun Il-Lok (2), Mauricio MolinaJ : Hamdi Salihi",HnGuM,wEFsXBT
45,2013,AFCChampions League,2013-03-12,Group Stage,Buriram United,A,0–0,,rrZdvJ,wAqTTzc
46,2013,AFCChampions League,2013-04-02,Group Stage,Vegalta Sendai,H,2–1,"S : Sergio Escudero, Kim Jin-KyuV : Wilson Rodrigues Fonseca",xGKNgGlE,dAVrk
