Name,Status,Population,District,Former local authority,Irrelevant_1
Haydock,Unparished area,"15,684",St Helens,HaydockUrban District,ZqhO1n
Newton le Willows,Unparished area,"21,418",St Helens,Newton le WillowsUrban District,UV7Glm1i
Rainford,Civil parish,"8,344",St Helens,RainfordUrban District,sbyEzqt7
Rainhill,Civil parish,"11,913",St Helens,WhistonRural District,h2Ceyg
Seneley Green,Civil parish,"6,163",St Helens,Ashton in MakerfieldUrban District,8ml3KnX
St Helens,Unparished area,"91,414",St Helens,St HelensCounty Borough,lHwyxMNN
Windle,Civil parish,"2,542",St Helens,WhistonRural District,V92tx
Bebington,Unparished area,"58,226",Wirral,BebingtonMunicipal Borough,zQksvVg
Birkenhead,Unparished area,"103,206",Wirral,BirkenheadCounty Borough,wxCvAph
Heswall,Unparished area,"29,977",Wirral,WirralUrban District,52265h
Hoylake,Unparished area,"35,655",Wirral,HoylakeUrban District,5C7AU7
Wallasey,Unparished area,"84,348",Wirral,WallaseyCounty Borough,tmicvIu
