Name,Status,Population,District,Former local authority
Hightown,Civil parish,"2,247",Sefton,CrosbyMunicipal Borough
Ince Blundell,Civil parish,518,Sefton,West LancashireRural District
Litherland,Unparished area,"18,629",Sefton,LitherlandUrban District
Little Altcar,Civil parish,892,Sefton,West LancashireRural District
Lydiate,Civil parish,"6,672",Sefton,West LancashireRural District
Maghull,Town,"22,225",Sefton,West LancashireRural District
Melling,Civil parish,"2,810",Sefton,West LancashireRural District
Sefton,Civil parish,772,Sefton,West LancashireRural District
Southport,Unparished area,"90,336",Sefton,SouthportCounty Borough
Thornton,Civil parish,"2,262",Sefton,West LancashireRural District
Billinge Chapel End,Civil parish,"6,554",St Helens,Billinge and WinstanleyUrban District
Bold,Civil parish,"2,283",St Helens,WhistonRural District
Eccleston,Civil parish,"10,528",St Helens,WhistonRural District
