Name,Status,Population,District,Former local authority,Irrelevant_1,Random_Column_2,Unused_3
Cronton,Civil parish,"1,379",Knowsley,WhistonRural District,e3H3nwy,qzuKJvMT,
Halewood,Town,"20,309",Knowsley,WhistonRural District,BXMAkNCb,wCcFnm4,
Huyton with Roby,Unparished area,"49,859",Knowsley,Huyton with RobyUrban District,Mzyk3,mdGkW,
Kirkby,Unparished area,"40,374",Knowsley,KirkbyUrban District,8zGQUuI,5W4rDz,
Knowsley,Civil parish,"11,343",Knowsley,WhistonRural District,Myzr0N,2yCHtc,
Prescot,Town,"11,184",Knowsley,PrescotUrban District,AU29fp,Fq7Fu3T,
Tarbock,Civil parish,"2,382",Knowsley,WhistonRural District,TVHme,SOLZSwRY,
Whiston,Town,"13,629",Knowsley,WhistonRural District,0JJp5Hv,1YqSsgRe,
Liverpool,Unparished area,"439,473",Liverpool,LiverpoolCounty Borough,VmJhG3EH,VK6c4,
Aintree Village,Civil parish,"7,126",Sefton,West LancashireRural District,7s3J79F,a9v2HCW1,
Bootle,Unparished area,"59,011",Sefton,BootleCounty Borough,kLsA4,wHct0X,
Crosby,Unparished area,"45,872",Sefton,CrosbyMunicipal Borough,1RU48B6,JIX0Zgz,
Formby,Civil parish,"23,586",Sefton,FormbyUrban District,PzEzymTT,08scZj2K,
